dataset,run_id,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,lambda,reroute_method,impact_weight,total_before,tdg_after,tdg_prepare_sec,normalize_sec,reroute_sec,evaluate_after_sec,method_total_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count,normal_after,normal_reroute_sec,normal_evaluate_after_sec,normal_total_sec,normal_reduction,tdg_reduction,gain_vs_normal,pct_vs_normal_after,pct_extra_reduction_vs_normal,pct_of_total_before,tdg_better,extra_total_sec,extra_reroute_sec,best_gain_vs_normal,best_pct_vs_normal_after
Hop10Rep4-18,Hop10Rep4-18_random30_tdg_impact_w5,10,4,18,4096,random,30,0,1228,45,tdg_impact_reroute,5,129989088,126271999,0.360175,0.004494,0.583376,3.032154,3.980199,1607978.1816,1588978.63623,21032,21032,126397146,0.012971,3.060873,3.073844,3591942,3717089,125147,0.09901093811089691,3.484104141993384,0.09627500425266465,True,0.906355,0.570405,125147,0.09901093811089691
Hop10Rep4-19,Hop10Rep4-19_random30_tdg_impact_w100,10,4,19,4096,random,30,0,1228,45,tdg_impact_reroute,100,132300937,121387111,0.382029,0.007098,0.096336,2.026365,2.511828,1446028.0228,1456694.52246,32612,32612,128496678,0.020089,2.212202,2.232291,3804259,10913826,7109567,5.532880001769384,186.8844103411466,5.373784314165515,True,0.2795369999999999,0.07624700000000001,7109567,5.532880001769384
Hop10Rep4-2,Hop10Rep4-2_random30_tdg_impact_w0,10,4,2,4096,random,30,0,1228,45,tdg_impact_reroute,0,164917060,158319063,0.455264,0.006498,0.365995,3.644575,4.472332,1840387.42182,1865301.31812,30445,30445,158319063,0.028175,3.797899,3.826074,6597997,6597997,0,0.0,0.0,0.0,False,0.6462579999999996,0.33782,0,0.0
Hop10Rep4-3,Hop10Rep4-3_random30_tdg_impact_w15,10,4,3,4096,random,30,0,1228,45,tdg_impact_reroute,15,93285194,87375355,0.2775,0.004838,0.089821,1.689789,2.061948,1148635.28094,1164125.64014,21214,21214,87914234,0.018058,1.676246,1.694304,5370960,5909839,538879,0.6129598990761838,10.033197044848594,0.5776683060765249,True,0.3676440000000001,0.071763,538879,0.6129598990761838
Hop10Rep4-4,Hop10Rep4-4_random30_tdg_impact_w30,10,4,4,4096,random,30,0,1228,45,tdg_impact_reroute,30,125720190,122770996,0.319125,0.006088,0.075621,2.057608,2.458442,1334331.39739,1331030.9397,25166,25166,123447935,0.014882,2.194437,2.209319,2272255,2949194,676939,0.5483599219379409,29.79150667508708,0.5384489158026249,True,0.24912299999999998,0.060738999999999994,676939,0.5483599219379409
Hop10Rep4-5,Hop10Rep4-5_random30_tdg_impact_w100,10,4,5,4096,random,30,0,1228,45,tdg_impact_reroute,100,118448873,104602330,0.330963,0.005706,0.058557,1.871191,2.266417,1369187.87215,1392478.0415,25870,25870,106676643,0.01986,1.958954,1.978814,11772230,13846543,2074313,1.9444865733167098,17.620391378693757,1.751230676546834,True,0.28760300000000005,0.038696999999999995,2074313,1.9444865733167098
Hop10Rep4-6,Hop10Rep4-6_random30_tdg_impact_w0,10,4,6,4096,random,30,0,1228,45,tdg_impact_reroute,0,115757936,120013986,0.334229,0.00671,0.119092,2.127797,2.587828,1327587.99919,1360649.86938,29326,29326,120013986,0.021712,2.158925,2.180637,-4256050,-4256050,0,0.0,-0.0,0.0,False,0.4071910000000001,0.09738000000000001,0,0.0
Hop10Rep4-7,Hop10Rep4-7_random30_tdg_impact_w50,10,4,7,4096,random,30,0,1228,45,tdg_impact_reroute,50,166413531,151329575,0.467495,0.006944,0.105467,3.099021,3.678927,1709753.11156,1755309.35205,30367,30367,155554245,0.022176,3.241081,3.263257,10859286,15083956,4224670,2.715882167021543,38.90375481408262,2.5386577489302837,True,0.41567,0.083291,4224670,2.715882167021543
Hop10Rep4-8,Hop10Rep4-8_random30_tdg_impact_w100,10,4,8,4096,random,30,0,1228,45,tdg_impact_reroute,100,161756694,143489866,0.407433,0.007103,0.067541,2.063466,2.545543,1474455.60586,1472166.5708,34126,34126,154475358,0.015626,2.479976,2.495602,7281336,18266828,10985492,7.111485056406214,150.871927898946,6.791367781045278,True,0.04994100000000001,0.051915,10985492,7.111485056406214
Hop10Rep4-9,Hop10Rep4-9_random30_tdg_impact_w50,10,4,9,4096,random,30,0,1228,45,tdg_impact_reroute,50,153390208,131029795,0.491488,0.006897,0.088385,2.995214,3.581984,1947486.27362,1966784.29224,30930,30930,133618136,0.020941,3.029302,3.050243,19772072,22360413,2588341,1.9371180271516435,13.090894065123775,1.68742257654413,True,0.5317409999999998,0.067444,2588341,1.9371180271516435
Hop20Rep1-0,Hop20Rep1-0_random30_tdg_impact_w100,20,1,0,1024,random,30,0,307,45,tdg_impact_reroute,100,61370530,51517268,0.251236,0.004851,0.043631,0.884852,1.18457,6904028.77199,6577904.45215,21681,21681,55011606,0.018336,1.015165,1.033501,6358924,9853262,3494338,6.352001430389071,54.95171824667192,5.693837090864296,True,0.1510689999999999,0.025295,3494338,6.352001430389071
