run_id,dataset,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,lambda,reroute_method,impact_weight,total_before,tdg_after,tdg_prepare_sec,normalize_sec,reroute_sec,evaluate_after_sec,method_total_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count,normal_after,normal_reroute_sec,normal_evaluate_after_sec,normal_total_sec,normal_reduction,tdg_reduction,gain_vs_normal,pct_vs_normal_after,pct_extra_reduction_vs_normal,pct_of_total_before,tdg_better,extra_total_sec,extra_reroute_sec
Hop10Rep1-8_random30_tdg_impact_w15,Hop10Rep1-8,10,1,8,1024,random,30,0,307,45,tdg_impact_reroute,15,23006298,17924853,0.090678,0.003008,0.036013,0.206838,0.336537,919641.140065,932298.420898,12596,12596,19053190,0.006716,0.231824,0.23854,3953108,5081445,1128337,5.922037202169295,28.543034999296758,4.904470071629951,True,0.09799699999999997,0.029297000000000004
Hop10Rep1-8_random30_tdg_impact_w30,Hop10Rep1-8,10,1,8,1024,random,30,0,307,45,tdg_impact_reroute,30,23006298,18048805,0.090678,0.003008,0.032719,0.201857,0.328262,919641.140065,932298.420898,12596,12596,19053190,0.006716,0.231824,0.23854,3953108,4957493,1004385,5.27147947404083,25.40747685112575,4.365695862932837,True,0.089722,0.026003
Hop10Rep1-8_random30_tdg_impact_w5,Hop10Rep1-8,10,1,8,1024,random,30,0,307,45,tdg_impact_reroute,5,23006298,18460872,0.090678,0.003008,0.038086,0.219649,0.351421,919641.140065,932298.420898,12596,12596,19053190,0.006716,0.231824,0.23854,3953108,4545426,592318,3.1087602653413944,14.983602775335255,2.574590662087399,True,0.11288099999999998,0.03137
Hop10Rep1-8_random30_tdg_impact_w50,Hop10Rep1-8,10,1,8,1024,random,30,0,307,45,tdg_impact_reroute,50,23006298,18226165,0.090678,0.003008,0.032412,0.203031,0.329129,919641.140065,932298.420898,12596,12596,19053190,0.006716,0.231824,0.23854,3953108,4780133,827025,4.34061172958439,20.92088048188919,3.5947765259756266,True,0.090589,0.025696000000000004
Hop10Rep1-9_random30_tdg_impact_w0,Hop10Rep1-9,10,1,9,1024,random,30,0,307,45,tdg_impact_reroute,0,28055401,22544973,0.096683,0.002725,0.035849,0.264374,0.399631,1647363.4886,1607826.04004,11533,11533,22544973,0.018197,0.270858,0.289055,5510428,5510428,0,0.0,0.0,0.0,False,0.11057600000000001,0.017651999999999998
Hop10Rep1-9_random30_tdg_impact_w100,Hop10Rep1-9,10,1,9,1024,random,30,0,307,45,tdg_impact_reroute,100,28055401,21265260,0.096683,0.002725,0.040187,0.239574,0.379169,1647363.4886,1607826.04004,11533,11533,22544973,0.018197,0.270858,0.289055,5510428,6790141,1279713,5.676267609635195,23.22347737780078,4.561378395553854,True,0.09011399999999997,0.02199
Hop10Rep1-9_random30_tdg_impact_w15,Hop10Rep1-9,10,1,9,1024,random,30,0,307,45,tdg_impact_reroute,15,28055401,21837697,0.096683,0.002725,0.03398,0.250352,0.38374,1647363.4886,1607826.04004,11533,11533,22544973,0.018197,0.270858,0.289055,5510428,6217704,707276,3.1371782969090276,12.835228043992227,2.52099765032765,True,0.09468500000000002,0.015783000000000002
Hop10Rep1-9_random30_tdg_impact_w30,Hop10Rep1-9,10,1,9,1024,random,30,0,307,45,tdg_impact_reroute,30,28055401,21617788,0.096683,0.002725,0.030857,0.245226,0.375491,1647363.4886,1607826.04004,11533,11533,22544973,0.018197,0.270858,0.289055,5510428,6437613,927185,4.112601953437691,16.82600698167184,3.304836027829365,True,0.08643600000000001,0.012659999999999998
Hop10Rep1-9_random30_tdg_impact_w5,Hop10Rep1-9,10,1,9,1024,random,30,0,307,45,tdg_impact_reroute,5,28055401,22267867,0.096683,0.002725,0.035323,0.260361,0.395092,1647363.4886,1607826.04004,11533,11533,22544973,0.018197,0.270858,0.289055,5510428,5787534,277106,1.2291254462801973,5.028756386981192,0.987709995661798,True,0.10603699999999999,0.017126
Hop10Rep1-9_random30_tdg_impact_w50,Hop10Rep1-9,10,1,9,1024,random,30,0,307,45,tdg_impact_reroute,50,28055401,21006252,0.096683,0.002725,0.037944,0.243252,0.380604,1647363.4886,1607826.04004,11533,11533,22544973,0.018197,0.270858,0.289055,5510428,7049149,1538721,6.825117954233079,27.92380192609358,5.484580313074121,True,0.09154899999999999,0.019746999999999997
Hop10Rep1-10_random30_tdg_impact_w0,Hop10Rep1-10,10,1,10,1024,random,30,0,307,45,tdg_impact_reroute,0,17077467,14592158,0.08268,0.002638,0.041894,0.190079,0.317291,758005.579805,766727.28125,11845,11845,14592158,0.005752,0.197133,0.202885,2485309,2485309,0,0.0,0.0,0.0,False,0.11440599999999998,0.036142
Hop10Rep1-10_random30_tdg_impact_w100,Hop10Rep1-10,10,1,10,1024,random,30,0,307,45,tdg_impact_reroute,100,17077467,15641919,0.08268,0.002638,0.022878,0.180171,0.288367,758005.579805,766727.28125,11845,11845,14592158,0.005752,0.197133,0.202885,2485309,1435548,-1049761,-7.194007904793794,-42.23865120997027,-6.1470533071444375,False,0.08548199999999997,0.017126
Hop10Rep1-10_random30_tdg_impact_w15,Hop10Rep1-10,10,1,10,1024,random,30,0,307,45,tdg_impact_reroute,15,17077467,14541030,0.08268,0.002638,0.034027,0.177711,0.297056,758005.579805,766727.28125,11845,11845,14592158,0.005752,0.197133,0.202885,2485309,2536437,51128,0.3503799780676717,2.057208982866919,0.29938866226472577,True,0.09417099999999998,0.028275
Hop10Rep1-10_random30_tdg_impact_w30,Hop10Rep1-10,10,1,10,1024,random,30,0,307,45,tdg_impact_reroute,30,17077467,15000199,0.08268,0.002638,0.029007,0.176105,0.29043,758005.579805,766727.28125,11845,11845,14592158,0.005752,0.197133,0.202885,2485309,2077268,-408041,-2.7963033295006814,-16.41811943705994,-2.389353175151795,False,0.08754500000000001,0.023255
Hop10Rep1-10_random30_tdg_impact_w5,Hop10Rep1-10,10,1,10,1024,random,30,0,307,45,tdg_impact_reroute,5,17077467,14610302,0.08268,0.002638,0.03909,0.187161,0.311569,758005.579805,766727.28125,11845,11845,14592158,0.005752,0.197133,0.202885,2485309,2467165,-18144,-0.12434075891996235,-0.730050066209071,-0.10624526459339667,False,0.10868399999999998,0.033338
Hop10Rep1-10_random30_tdg_impact_w50,Hop10Rep1-10,10,1,10,1024,random,30,0,307,45,tdg_impact_reroute,50,17077467,15260439,0.08268,0.002638,0.02426,0.177526,0.287104,758005.579805,766727.28125,11845,11845,14592158,0.005752,0.197133,0.202885,2485309,1817028,-668281,-4.579727001311252,-26.88925200045548,-3.913232565461845,False,0.08421900000000002,0.018508
