dataset,hop,rep,seed,query_count,random_fraction,random_seed,selected_count,total_before,random_unselected_after_remove,random_reduction,random_select_sec,evaluate_remaining_sec
Hop20Rep2-13,20,2,13,2048,10,0,204,87434751,75145012,12289739,0.000306,1.705888
Hop20Rep2-13,20,2,13,2048,30,0,614,87434751,50366763,37067988,0.00031,1.072157
Hop20Rep2-14,20,2,14,2048,10,0,204,143629133,125721050,17908083,0.000304,4.381572
Hop20Rep2-14,20,2,14,2048,30,0,614,143629133,91156344,52472789,0.000311,2.644405
Hop20Rep2-15,20,2,15,2048,10,0,204,129853186,114520049,15333137,0.00031,3.442761
Hop20Rep2-15,20,2,15,2048,30,0,614,129853186,82662763,47190423,0.000319,2.119865
Hop20Rep2-16,20,2,16,2048,10,0,204,117854666,103168875,14685791,0.000305,3.514402
Hop20Rep2-16,20,2,16,2048,30,0,614,117854666,73157218,44697448,0.000315,2.244216
Hop20Rep2-17,20,2,17,2048,10,0,204,73271402,60808021,12463381,0.000311,1.263284
Hop20Rep2-17,20,2,17,2048,30,0,614,73271402,40631081,32640321,0.000311,0.790898
Hop20Rep2-18,20,2,18,2048,10,0,204,105219223,90710906,14508317,0.000305,2.491774
Hop20Rep2-18,20,2,18,2048,30,0,614,105219223,62010777,43208446,0.000313,1.577492
Hop20Rep2-19,20,2,19,2048,10,0,204,132042378,115905516,16136862,0.000309,4.031424
Hop20Rep2-19,20,2,19,2048,30,0,614,132042378,80523295,51519083,0.000315,2.501343
Hop20Rep4-0,20,4,0,4096,10,0,409,302905825,270237326,32668499,0.000606,12.77778
Hop20Rep4-0,20,4,0,4096,30,0,1228,302905825,206088642,96817183,0.000617,9.789766
Hop20Rep4-1,20,4,1,4096,10,0,409,323669773,288870393,34799380,0.000605,9.847329
Hop20Rep4-1,20,4,1,4096,30,0,1228,323669773,218709747,104960026,0.000615,7.075308
Hop20Rep4-2,20,4,2,4096,10,0,409,268046697,237909981,30136716,0.0006,7.363679
Hop20Rep4-2,20,4,2,4096,30,0,1228,268046697,171714981,96331716,0.000612,5.534111
Hop20Rep4-3,20,4,3,4096,10,0,409,270706319,239187044,31519275,0.000604,9.326951
Hop20Rep4-3,20,4,3,4096,30,0,1228,270706319,178590377,92115942,0.000613,6.674086
Hop20Rep4-4,20,4,4,4096,10,0,409,247686783,220168402,27518381,0.000604,8.52476
Hop20Rep4-4,20,4,4,4096,30,0,1228,247686783,164667393,83019390,0.000615,5.846127
Hop20Rep4-5,20,4,5,4096,10,0,409,290694731,245822793,44871938,0.00061,5.698384
Hop20Rep4-5,20,4,5,4096,30,0,1228,290694731,167863856,122830875,0.000617,3.857729
Hop20Rep4-6,20,4,6,4096,10,0,409,268201340,237359608,30841732,0.000603,8.32472
Hop20Rep4-6,20,4,6,4096,30,0,1228,268201340,177261317,90940023,0.000615,6.182272
Hop20Rep4-7,20,4,7,4096,10,0,409,273671808,240770643,32901165,0.0006,8.797987
Hop20Rep4-7,20,4,7,4096,30,0,1228,273671808,174937490,98734318,0.000633,6.156854
Hop20Rep4-8,20,4,8,4096,10,0,409,275995595,244022139,31973456,0.000606,8.11477
Hop20Rep4-8,20,4,8,4096,30,0,1228,275995595,181918951,94076644,0.000623,6.280238
Hop20Rep4-9,20,4,9,4096,10,0,409,262198780,234633737,27565043,0.000606,9.726022
Hop20Rep4-9,20,4,9,4096,30,0,1228,262198780,179695607,82503173,0.000619,7.753937
Hop20Rep4-10,20,4,10,4096,10,0,409,221869310,191408524,30460786,0.000614,4.423463
Hop20Rep4-10,20,4,10,4096,30,0,1228,221869310,132857371,89011939,0.000614,2.792979
Hop20Rep4-11,20,4,11,4096,10,0,409,256418056,225749177,30668879,0.000607,7.548205
Hop20Rep4-11,20,4,11,4096,30,0,1228,256418056,164702465,91715591,0.000612,4.912893
Hop20Rep4-12,20,4,12,4096,10,0,409,288276883,257210198,31066685,0.000604,13.16269
Hop20Rep4-12,20,4,12,4096,30,0,1228,288276883,196158177,92118706,0.000625,9.566707
Hop20Rep4-13,20,4,13,4096,10,0,409,241849401,208836717,33012684,0.000602,5.882266
Hop20Rep4-13,20,4,13,4096,30,0,1228,241849401,147506864,94342537,0.000621,4.106295
Hop20Rep4-14,20,4,14,4096,10,0,409,322548979,287054206,35494773,0.000602,11.999475
Hop20Rep4-14,20,4,14,4096,30,0,1228,322548979,216905454,105643525,0.00062,8.5542
Hop20Rep4-15,20,4,15,4096,10,0,409,295599775,262011051,33588724,0.000604,9.451731
Hop20Rep4-15,20,4,15,4096,30,0,1228,295599775,195116598,100483177,0.000615,6.674129
Hop20Rep4-16,20,4,16,4096,10,0,409,272295349,241669547,30625802,0.000601,8.519461
Hop20Rep4-16,20,4,16,4096,30,0,1228,272295349,182379569,89915780,0.000618,6.509465
Hop20Rep4-17,20,4,17,4096,10,0,409,215201564,185575459,29626105,0.000602,4.332962
Hop20Rep4-17,20,4,17,4096,30,0,1228,215201564,127591861,87609703,0.000617,2.737331
Hop20Rep4-18,20,4,18,4096,10,0,409,257981362,227030663,30950699,0.000609,8.186177
Hop20Rep4-18,20,4,18,4096,30,0,1228,257981362,166035411,91945951,0.000617,5.434743
Hop20Rep4-19,20,4,19,4096,10,0,409,298317793,264160462,34157331,0.000608,9.453924
Hop20Rep4-19,20,4,19,4096,30,0,1228,298317793,198593849,99723944,0.000612,7.428931
Hop40Rep1-0,40,1,0,1024,10,0,102,62292886,54350013,7942873,0.000158,1.069195
Hop40Rep1-0,40,1,0,1024,30,0,307,62292886,37442634,24850252,0.000162,0.710654
Hop40Rep1-1,40,1,1,1024,10,0,102,100812941,87609059,13203882,0.000158,2.376013
Hop40Rep1-1,40,1,1,1024,30,0,307,100812941,59763289,41049652,0.000161,1.334014
Hop40Rep1-2,40,1,2,1024,10,0,102,88524041,75696947,12827094,0.000159,1.559425
