run_id,dataset,hop,rep,seed,algorithm,query_count,lambda,gamma,theta_percentile,impact_weight,conflict_threshold,random_seed,max_iterations
Hop10Rep2-15_gamma25,Hop10Rep2-15,10,2,15,tdg_selection_no_candidate_vs_random,2048,45,25,90,15,70,0,5
Hop10Rep2-15_gamma50,Hop10Rep2-15,10,2,15,tdg_selection_no_candidate_vs_random,2048,45,50,90,15,70,0,5
Hop10Rep2-15_gamma75,Hop10Rep2-15,10,2,15,tdg_selection_no_candidate_vs_random,2048,45,75,90,15,70,0,5
Hop10Rep2-15_gamma100,Hop10Rep2-15,10,2,15,tdg_selection_no_candidate_vs_random,2048,45,100,90,15,70,0,5
Hop10Rep2-16_gamma0,Hop10Rep2-16,10,2,16,tdg_selection_no_candidate_vs_random,2048,45,0,90,15,70,0,5
Hop10Rep2-16_gamma25,Hop10Rep2-16,10,2,16,tdg_selection_no_candidate_vs_random,2048,45,25,90,15,70,0,5
Hop10Rep2-16_gamma50,Hop10Rep2-16,10,2,16,tdg_selection_no_candidate_vs_random,2048,45,50,90,15,70,0,5
Hop10Rep2-16_gamma75,Hop10Rep2-16,10,2,16,tdg_selection_no_candidate_vs_random,2048,45,75,90,15,70,0,5
Hop10Rep2-16_gamma100,Hop10Rep2-16,10,2,16,tdg_selection_no_candidate_vs_random,2048,45,100,90,15,70,0,5
Hop10Rep2-17_gamma0,Hop10Rep2-17,10,2,17,tdg_selection_no_candidate_vs_random,2048,45,0,90,15,70,0,5
Hop10Rep2-17_gamma25,Hop10Rep2-17,10,2,17,tdg_selection_no_candidate_vs_random,2048,45,25,90,15,70,0,5
Hop10Rep2-17_gamma50,Hop10Rep2-17,10,2,17,tdg_selection_no_candidate_vs_random,2048,45,50,90,15,70,0,5
Hop10Rep2-17_gamma75,Hop10Rep2-17,10,2,17,tdg_selection_no_candidate_vs_random,2048,45,75,90,15,70,0,5
Hop10Rep2-17_gamma100,Hop10Rep2-17,10,2,17,tdg_selection_no_candidate_vs_random,2048,45,100,90,15,70,0,5
Hop10Rep2-18_gamma0,Hop10Rep2-18,10,2,18,tdg_selection_no_candidate_vs_random,2048,45,0,90,15,70,0,5
Hop10Rep2-18_gamma25,Hop10Rep2-18,10,2,18,tdg_selection_no_candidate_vs_random,2048,45,25,90,15,70,0,5
Hop10Rep2-18_gamma50,Hop10Rep2-18,10,2,18,tdg_selection_no_candidate_vs_random,2048,45,50,90,15,70,0,5
Hop10Rep2-18_gamma75,Hop10Rep2-18,10,2,18,tdg_selection_no_candidate_vs_random,2048,45,75,90,15,70,0,5
Hop10Rep2-18_gamma100,Hop10Rep2-18,10,2,18,tdg_selection_no_candidate_vs_random,2048,45,100,90,15,70,0,5
Hop10Rep2-19_gamma0,Hop10Rep2-19,10,2,19,tdg_selection_no_candidate_vs_random,2048,45,0,90,15,70,0,5
Hop10Rep2-19_gamma25,Hop10Rep2-19,10,2,19,tdg_selection_no_candidate_vs_random,2048,45,25,90,15,70,0,5
Hop10Rep2-19_gamma50,Hop10Rep2-19,10,2,19,tdg_selection_no_candidate_vs_random,2048,45,50,90,15,70,0,5
Hop10Rep2-19_gamma75,Hop10Rep2-19,10,2,19,tdg_selection_no_candidate_vs_random,2048,45,75,90,15,70,0,5
Hop10Rep2-19_gamma100,Hop10Rep2-19,10,2,19,tdg_selection_no_candidate_vs_random,2048,45,100,90,15,70,0,5
Hop10Rep4-0_gamma0,Hop10Rep4-0,10,4,0,tdg_selection_no_candidate_vs_random,4096,45,0,90,15,70,0,5
